Constituency	Seat Count	Returning Officer URL
Carlow–Kilkenny	5	https://www.carlowkilkennyro.ie/
Cavan–Monaghan	5	https://cavanmonaghanreturningofficer.com/
Clare	4	https://clarereturningofficer.com/
Cork East	4	https://corkcountyreturningofficer.com/
Cork North-Central	5	https://corkcityreturningofficer.com/
Cork North-West	3	https://corkcountyreturningofficer.com/
Cork South-Central	5	https://corkcityreturningofficer.com/
Cork South-West	3	https://corkcountyreturningofficer.com/
Donegal	5	https://donegalreturningofficer.com/
Dublin Bay North	5	https://www.dublincityreturningofficer.com/
Dublin Bay South	4	https://www.dublincityreturningofficer.com/
Dublin Central	4	https://www.dublincityreturningofficer.com/
Dublin Fingal East	3	https://dublincountyreturningofficer.com/
Dublin Fingal West	3	https://dublincountyreturningofficer.com/
Dublin Mid-West	5	https://dublincountyreturningofficer.com/
Dublin North-West	3	https://www.dublincityreturningofficer.com/
Dublin Rathdown	4	https://dublincountyreturningofficer.com/
Dublin South-Central	4	https://www.dublincityreturningofficer.com/
Dublin South-West	5	https://dublincountyreturningofficer.com/
Dublin West	5	https://dublincountyreturningofficer.com/
Dún Laoghaire	4	https://dublincountyreturningofficer.com/
Galway East	4	https://galwayreturningofficer.com/
Galway West	5	https://galwayreturningofficer.com/
Kerry	5	https://kerryro.com/
Kildare North	5	https://kildarereturningofficer.com/
Kildare South	4	https://kildarereturningofficer.com/
Laois	3	https://laoisreturningofficer.com/
Limerick City	4	https://limerickreturningofficer.com/
Limerick County	3	https://limerickreturningofficer.com/
Longford–Westmeath	5	https://longfordwestmeathreturningofficer.com/
Louth	5	https://louthreturningofficer.com/
Mayo	5	https://www.mayoreturningofficer.com/
Meath East	4	https://meathreturningofficer.com/
Meath West	3	https://meathreturningofficer.com/
Offaly	3	https://offalyreturningofficer.com/
Roscommon–Galway	3	https://www.roscommonreturningofficer.ie/
Sligo–Leitrim	4	https://sligoreturningofficer.com/
Tipperary North	3	https://tipperaryreturningofficer.com/
Tipperary South	3	https://tipperaryreturningofficer.com/
Waterford	4	https://waterfordreturningofficer.com/
Wexford	4	https://wexfordro.ie/
Wicklow	4	https://wicklowreturningofficer.com/
Wicklow–Wexford	3	https://wicklowreturningofficer.com/
