party,website
100% Redress,https://www.100percentredressparty.ie/
Aontú,https://aontu.ie/
Centre Party of Ireland,https://www.centreparty.ie/
Fianna Fáil,https://www.fiannafail.ie/
Fine Gael,https://www.finegael.ie
Green,https://www.greenparty.ie/
Independent,
Independent Ireland,https://www.independentireland.ie/
Independents 4 Change,
Ireland First,https://ireland-first.ie/
Irish Freedom Party,https://www.irishfreedom.ie/
Labour,https://labour.ie/home/
National Party,https://nationalparty.ie/
PBP–Solidarity,https://www.pbp.ie/
Party for Animal Welfare,https://www.ipaw.ie/
Rabharta,https://rabharta.ie/
Right to Change,https://righttochange.ie/
Sinn Féin,https://vote.sinnfein.ie/,
Social Democrats,https://www.socialdemocrats.ie/
The Irish People,https://www.irishpeople.org/
Workers and Unemployed Action,https://wuag.wordpress.com/
